Gene,M307_2ppm,M311_2ppm,M314_2ppm,M316_0ppm,M323_2ppm,M324_0ppm,M327_0ppm,M329_0ppm,M330_0ppm,M343_2ppm
Fabp4,24,81,34,84,50,48,9,24,10,18
Fabp5,31,65,37,32,33,15,4,14,77,19
Fabp6,4,14,5,3,0,5,6,14,1,15
Fabp7,2,10,2,15,4,5,2,5,0,1
Fabp9,303,155,605,307,757,266,106,87,165,171
Fadd,69,39,78,22,59,33,17,20,81,35
Fads1,7842,1597,4072,2977,5130,1297,25,974,5868,1716
Fads2,8615,2102,4874,3621,5550,1439,26,1110,3977,1867
Fads3,354,379,555,281,348,189,14,97,498,288
Fads6,49,7,15,9,24,10,1,11,1,5
Faf1,833,288,498,493,583,182,56,169,589,227
Faf2,581,238,363,298,499,212,33,148,1184,209
Fah,49,48,39,29,35,11,9,14,416,25
Fahd1,145,62,71,67,148,31,5,25,122,45
Fahd2a,162,57,106,83,128,48,10,16,255,40
Faim,219,110,153,104,131,62,23,40,197,63
Faim2,33,8,24,18,16,21,11,10,101,12
Faim3,0,3,2,9,10,7,5,6,54,5
Fam101a,0,3,2,5,0,5,9,5,54,1
Fam101b,166,127,141,114,82,69,17,34,86,76
Fam102a,969,355,665,412,589,232,45,140,830,243
Fam102b,980,793,866,787,534,403,148,142,834,292
Fam103a1,526,174,346,267,388,131,10,63,278,144
Fam104a,509,235,420,323,470,144,24,83,395,171
Fam105a,151,104,114,62,101,48,24,35,172,67
Fam105b,309,157,198,172,223,77,21,79,276,99
Fam107a,20,23,15,11,9,20,27,29,18,26
Fam107b,203,239,280,170,167,105,47,49,60,77
Fam108a,725,327,430,397,623,169,14,91,1598,166
Fam108b,458,248,368,242,347,142,32,84,255,141
Fam108c,339,152,247,207,278,84,18,31,796,106
Fam109a,68,26,50,35,73,21,2,7,159,19
Fam109b,59,43,48,36,29,21,6,19,6,24
Fam110a,85,33,101,78,100,31,9,18,188,40
Fam110b,36,31,35,34,32,19,8,18,38,30
Fam110c,106,44,74,33,47,41,12,25,269,27
Fam111a,134,170,95,109,98,85,57,65,47,67
Fam114a1,862,594,702,548,565,343,77,100,465,193
Fam114a2,482,175,334,296,407,143,19,69,615,156
Fam115a,215,82,121,163,115,61,34,43,101,62
Fam115c,122,66,47,54,34,37,32,41,35,47
Fam115e,19,12,11,18,5,33,30,51,4,43
Fam117a,75,78,78,64,52,36,10,24,168,33
Fam117b,629,310,430,383,448,204,70,130,429,228
Fam118a,184,103,166,118,127,77,54,63,484,91
Fam118b,241,111,183,142,183,122,32,47,261,98
Fam120a,750,392,536,370,611,200,31,126,1206,223
Fam120aos,643,264,475,252,561,171,28,75,480,187
Fam120b,613,168,294,235,326,123,55,117,441,157
Fam120c,229,106,163,127,136,85,52,70,319,105
Fam122a,231,85,192,123,180,75,20,39,187,63
Fam122b,126,47,87,82,91,39,10,37,49,33
Fam122c,25,6,57,18,63,25,12,19,10,8
Fam124a,69,89,59,81,60,53,22,22,6,27
Fam124b,4,9,5,21,2,16,23,17,1,19
Fam126a,164,142,212,169,116,111,64,87,84,103
Fam126b,387,203,261,256,263,192,145,164,410,175
Fam129a,8738,1643,3784,2870,4607,1197,57,983,202,1499
Fam129b,612,496,698,492,465,299,54,70,555,190
Fam129c,8,3,7,9,9,9,11,10,4,11
Fam131a,51,31,49,27,43,24,7,13,132,16
Fam131b,20,14,16,32,42,23,23,24,4,22
Fam131c,4,5,5,5,2,0,3,3,1,6
Fam132a,2376,413,1114,950,2217,400,7,321,1098,495
Fam132b,6,9,9,9,6,4,7,5,4,4
Fam133b,179,109,161,109,184,85,30,70,121,70
Fam134a,627,169,407,312,696,176,29,111,1066,195
Fam134b,58,68,92,71,56,91,38,66,1265,83
Fam134c,205,81,178,144,204,82,25,58,403,144
Fam135a,290,148,268,218,246,120,46,96,206,109
Fam135b,18,23,20,13,13,47,47,50,4,42
Fam136a,459,178,323,216,379,105,8,65,354,106
Fam13a,102,57,67,64,53,74,80,81,52,75
Fam13b,420,179,262,228,222,118,59,59,226,121
Fam13c,35,40,14,35,24,38,30,19,14,24
Fam149a,597,304,453,351,398,188,33,64,119,162
Fam149b,280,146,215,190,217,115,38,57,289,103
Fam150a,0,11,5,5,2,13,14,6,1,4
Fam150b,13,14,20,28,15,12,9,11,20,14
Fam151a,19,10,13,8,7,6,9,5,2,7
Fam151b,131,58,95,53,80,21,9,13,38,30
Fam154a,18,15,18,21,13,21,17,17,5,14
Fam154b,6,21,20,15,10,22,11,14,14,11
Fam155a,9,22,12,12,8,12,12,22,2,13
Fam159a,1,5,4,6,2,3,7,1,2,5
Fam159b,3,5,3,9,0,9,5,9,3,13
Fam160a1,134,66,85,108,171,71,43,53,232,83
Fam160a2,212,89,201,170,256,154,69,82,405,142
Fam160b1,351,185,231,186,292,141,28,93,282,164
Fam160b2,141,64,121,77,111,44,15,36,202,60
Fam161a,70,63,109,96,138,80,27,34,36,55
Fam161b,54,18,23,33,17,35,20,30,16,25
Fam162a,741,271,432,392,671,158,18,90,364,199
Fam162b,1,4,1,3,1,7,3,2,2,2
Fam163a,3,12,5,13,7,14,13,18,2,15
Fam163b,0,4,2,3,2,3,6,9,0,5
Fam166a,59,26,87,43,102,53,20,18,78,37
Fam166b,0,4,12,7,5,2,1,6,1,4
Fam167a,366,72,149,140,295,77,16,39,13,72
Fam167b,3,2,7,1,2,1,8,4,2,3
Fam168a,235,196,180,159,155,165,80,102,244,142
Fam168b,1149,766,942,702,739,353,97,165,750,342
Fam169a,165,121,299,156,202,105,71,95,297,109
Fam169b,2,10,6,13,3,13,19,14,4,12
Fam170a,5,3,19,3,8,11,9,7,9,11
Fam170b,5,4,9,16,22,13,4,7,9,3
Fam171a1,556,147,264,262,375,127,20,84,248,139
Fam171a2,1072,175,484,481,1035,180,8,161,763,263
Fam171b,40,39,41,58,22,40,76,59,23,56
Fam172a,406,302,346,239,311,135,44,73,236,108
Fam173a,621,139,323,223,498,117,3,85,848,150
Fam173b,132,32,77,43,106,24,8,21,133,32
Fam174a,1244,545,830,676,1071,308,37,183,967,383
Fam174b,408,98,129,174,364,92,23,60,16,104
Fam175a,72,38,48,43,54,23,20,27,97,32
Fam175b,337,159,207,137,246,119,31,80,273,113
Fam177a,0,0,0,0,0,0,0,0,0,0
Fam178a,942,439,954,477,754,421,85,209,469,461
Fam178b,29,20,47,38,56,39,16,20,31,32
Fam179a,4,17,10,22,8,20,4,17,10,24
Fam179b,370,143,212,176,227,137,84,131,506,221
Fam180a,10,10,15,10,5,14,8,14,3,5
Fam181a,3,4,1,3,4,2,3,1,4,2
Fam181b,2,1,4,2,1,3,3,1,0,3
Fam183b,4,3,6,3,7,6,6,1,1,4
Fam184a,46,29,34,36,43,43,38,60,149,57
Fam184b,43,11,65,37,26,27,24,28,51,25
Fam185a,77,34,23,39,38,20,16,35,64,23
Fam186b,9,12,26,22,7,34,18,11,14,16
Fam187a,1,1,6,1,1,6,0,1,1,2
Fam187b,182,71,160,153,203,82,25,33,65,71
Fam188a,251,119,149,138,181,101,52,45,454,105
Fam188b,113,38,82,65,68,40,25,47,72,57
Fam189a1,40,39,41,45,36,47,38,50,44,57
Fam189a2,963,418,816,408,912,220,20,179,960,378
Fam189b,115,47,51,33,41,25,13,18,11,20
Fam192a,447,208,293,219,325,143,31,60,281,145
Fam193a,113,58,103,108,161,91,32,51,118,95
Fam193b,154,38,78,55,67,22,8,40,103,46
Fam194a,28,19,15,16,11,28,7,32,3,15
Fam195a,81,39,35,36,48,23,4,12,54,19
Fam195b,1061,473,814,465,840,301,45,129,946,275
Fam196a,9,33,23,24,19,50,46,67,17,67
Fam196b,3,10,1,13,4,26,24,24,11,21
Fam198a,22,9,19,19,9,20,16,11,11,20
Fam198b,141,163,136,129,81,119,123,133,81,111
Fam199x,425,160,331,230,316,148,42,97,381,147
Fam19a1,20,29,27,17,18,25,34,21,9,27
Fam19a2,17,25,18,22,8,35,45,44,8,37
Fam19a3,2,6,15,8,2,6,18,14,1,14
Fam19a4,6,1,7,6,0,4,8,19,1,14
Fam19a5,33,26,38,19,41,19,2,22,11,23
Fam203a,115,60,72,45,92,52,9,21,89,22
Fam207a,278,104,167,121,152,63,13,43,287,83
Fam209,5,1,3,5,6,13,10,11,2,4
Fam20a,53,41,40,33,32,16,18,22,2,22
Fam20b,3260,1115,2151,1485,2313,760,66,462,2982,755
Fam20c,56,50,75,50,61,39,15,20,206,31
Fam21,549,321,436,358,351,153,54,121,489,166
Fam210a,430,206,276,252,315,138,49,107,302,200
Fam210b,456,243,462,294,484,179,47,119,617,202
Fam211a,84,72,78,69,68,38,11,17,186,27
Fam211b,163,150,191,101,123,84,24,51,233,100
Fam212a,10,16,20,12,6,8,5,2,13,8
Fam212b,14,8,12,25,9,19,13,19,35,33
Fam213a,454,276,485,308,575,168,21,81,443,200
Fam213b,195,95,150,118,162,54,11,30,96,81
Fam214a,220,87,215,98,171,77,44,81,180,93
Fam214b,706,187,391,294,563,176,39,96,258,157
Fam216a,151,59,111,86,113,23,5,18,172,38
Fam216b,6,5,7,6,4,10,15,17,1,12
Fam217a,64,34,60,42,103,61,35,25,38,55
Fam217b,28,41,36,38,31,22,13,23,22,11
Fam219a,17,17,18,20,24,26,9,3,20,13
Fam219b,287,151,184,155,193,97,33,47,273,81
Fam220a,139,69,212,147,244,82,26,55,211,99
Fam221a,84,33,62,68,78,22,10,20,76,36
Fam221b,20,5,39,19,57,32,15,7,12,14
Fam222a,4,2,5,11,2,7,5,4,4,3
Fam222b,233,77,161,90,177,64,18,47,415,74
Fam227a,13,8,8,31,22,32,37,37,12,23
Fam227b,36,14,34,26,35,30,19,11,38,26
Fam228a,21,13,16,11,19,13,21,20,21,6
Fam228b,8,8,7,5,8,11,19,12,18,9
Fam229a,14,14,43,27,50,21,7,12,10,15
Fam229b,203,92,364,191,449,160,79,44,131,91
Fam24a,2,9,3,3,3,8,5,12,3,10
Fam25c,0,1,0,0,1,1,1,0,1,0
Fam26d,3,5,5,4,1,14,24,10,1,9
Fam26e,5,5,11,8,2,8,10,8,6,1
Fam26f,43,67,82,26,36,33,2,9,36,16
Fam32a,841,355,604,499,643,225,33,103,684,203
Fam35a,242,73,113,114,134,77,54,46,126,95
Fam3a,466,222,371,243,425,147,14,93,754,165
Fam3b,4,8,19,13,11,20,24,9,2,18
Fam3c,3155,955,1843,1709,3300,859,52,572,5560,1013
Fam43a,25,46,23,18,10,12,12,15,40,8
Fam43b,0,1,1,1,0,1,5,2,2,3
Fam45a,707,253,415,337,455,145,30,103,414,172
Fam46a,445,295,376,320,289,172,105,96,441,134
Fam46b,24,22,33,24,29,10,5,6,12,10
Fam46c,990,466,1237,961,1562,643,214,269,338,486
Fam46d,19,22,39,32,39,24,7,26,18,20
Fam47c,2,8,5,2,6,4,1,3,3,7
Fam47e,9,8,11,6,7,13,10,15,6,9
Fam49a,139,128,116,121,71,108,79,74,26,97
Fam49b,469,345,375,300,409,126,65,98,303,174
Fam50a,505,218,328,239,376,116,15,61,326,114
Fam50b,11,7,14,15,24,12,7,4,3,4
Fam53a,297,111,220,197,233,100,13,54,374,79
Fam53b,126,90,116,78,54,51,31,26,94,44
Fam53c,555,286,421,318,398,182,39,72,679,168
Fam57a,11,18,16,13,19,12,3,1,8,2
Fam57b,3,3,2,4,3,10,10,13,0,9
Fam58b,171,54,86,56,127,37,8,12,241,30
Fam5b,0,9,3,3,0,5,12,12,12,14
Fam5c,14,25,15,23,10,21,41,35,4,34
Fam60a,22,14,26,10,21,12,14,9,32,20
Fam63a,909,333,592,408,773,206,40,165,510,284
Fam63b,552,262,377,303,350,179,111,147,1167,190
Fam64a,6,28,5,12,5,10,2,6,5,5
Fam65a,189,88,104,131,97,65,10,39,219,42
Fam65b,73,59,79,82,65,46,56,54,285,70
Fam65c,4,4,8,7,2,5,4,7,4,5
Fam69a,127,120,215,174,149,93,54,74,132,111
Fam69b,10,9,6,17,10,8,7,6,284,8
Fam69c,4,7,5,6,3,16,9,9,7,20
Fam71a,0,3,12,15,15,9,11,5,3,8
Fam71b,6,4,5,10,7,7,9,10,5,11
Fam71d,30,23,68,49,94,35,27,15,32,40
Fam71e1,98,36,164,84,202,86,38,29,44,50
Fam71e2,9,9,21,16,14,16,17,14,10,11
Fam71f1,12,10,30,17,64,17,8,8,9,18
Fam71f2,222,117,457,237,579,227,58,53,53,120
Fam72a,13,11,18,10,23,8,18,20,14,19
Fam73a,482,157,270,277,369,139,47,101,1445,140
Fam73b,143,74,108,84,134,49,11,51,226,73
Fam76a,515,286,454,283,424,158,49,75,387,172
Fam76b,233,131,252,143,218,95,34,60,176,83
Fam78a,15,19,20,17,21,18,7,6,13,14
Fam78b,511,84,221,206,319,85,13,78,44,123
Fam81a,12,12,16,35,10,22,34,30,45,40
Fam83a,2,3,0,6,1,5,3,6,1,2
Fam83b,24,19,24,18,15,27,27,24,18,34
Fam83c,0,8,2,5,4,5,9,4,1,3
Fam83d,91,57,68,56,79,34,12,18,19,48
Fam83e,15,8,31,26,49,27,9,16,21,23
Fam83f,17,16,20,16,10,8,14,10,154,16
Fam83g,17,9,30,14,18,6,11,9,66,34
Fam83h,252,55,182,116,221,45,11,65,277,98
Fam84a,136,89,240,139,134,73,28,48,2521,78
Fam84b,749,241,554,366,569,212,70,157,1481,297
Fam86,364,106,250,166,359,86,10,64,386,122
Fam89a,10,11,14,11,7,5,2,3,12,8
Fam89b,379,209,267,208,318,113,32,50,248,98
Fam92a,252,182,181,126,229,102,21,52,178,100
Fam92b,2,0,3,4,0,4,6,2,1,7
Fam96a,742,384,515,341,596,198,32,115,499,183
Fam96b,106,51,57,50,76,35,8,9,131,20
Fam98a,470,178,289,170,326,127,17,68,259,139
Fam98b,58,22,33,24,35,22,10,8,39,9
Fam98c,213,83,161,110,220,69,9,39,217,69
Fan1,61,41,82,39,67,27,26,41,43,99
Fanca,521,137,300,185,397,163,23,157,282,253
Fancb,21,30,6,13,6,21,15,32,45,19
Fancc,105,63,85,50,66,51,33,45,94,37
Fancd2,32,58,41,52,24,75,79,74,36,62
