Gene,F303_0ppm,F306_2ppm,F318_0ppm,F320_2ppm,F325_0ppm,F328_0ppm,F332_0ppm,F336_2ppm,F341_2ppm,F342_2ppm
Chmp4c,3,0,0,0,3,0,0,2,0,0
Chmp5,1570,1174,1481,1309,1442,1223,1313,1152,892,934
Chmp6,252,146,102,157,78,76,41,50,5,17
Chmp7,2185,1671,2020,1966,2205,2077,2174,2129,1667,1740
Chn1,2254,1831,2670,2197,2823,2797,2969,2772,2254,2505
Chn2,1473,924,968,904,885,1009,941,795,764,726
Chodl,5,1,6,5,9,16,6,12,11,3
Chordc1,1453,1183,1274,1364,1315,1167,1259,1291,977,962
Chp1,1248,907,1255,1179,1263,1338,1213,1306,1018,1088
Chp2,271,137,147,143,117,122,95,82,53,42
Chpf,861,703,595,690,581,613,488,522,313,405
Chpf2,174,136,42,142,33,54,42,39,4,18
Chpt1,569,405,271,409,259,307,254,214,106,149
Chrac1,211,120,95,83,54,44,37,28,10,27
Chrd,0,2,1,2,0,2,2,0,0,0
Chrdl1,102,114,54,117,58,142,33,88,54,48
Chrdl2,21,10,2,10,3,5,1,5,2,0
Chrm1,1,1,1,0,1,0,0,0,0,0
Chrm2,0,0,0,0,0,0,0,0,0,0
Chrm3,61,32,61,55,50,75,75,61,55,50
Chrm4,75,77,44,33,37,45,55,18,20,35
Chrm5,0,0,0,0,1,1,0,0,0,0
Chrna1,9,4,6,2,7,18,13,10,10,6
Chrna10,0,1,0,0,0,0,0,0,0,0
Chrna2,3,2,5,5,4,2,5,1,0,2
Chrna3,0,0,0,3,0,0,2,1,0,0
Chrna4,18,46,5,7,0,3,0,0,0,0
Chrna5,51,39,81,88,103,92,75,79,71,65
Chrna6,2,0,0,0,0,1,5,0,0,0
Chrna7,4,10,10,9,10,11,10,5,6,10
Chrna9,2,0,0,0,1,0,0,0,1,2
Chrnb1,86,53,84,60,80,70,83,49,53,51
Chrnb2,2,2,0,1,4,2,1,1,1,5
Chrnb3,0,3,0,5,3,7,9,3,3,2
Chrnb4,16,15,22,22,16,29,18,16,14,10
Chrnd,448,345,516,489,567,572,615,571,444,505
Chrne,3,1,1,2,6,3,5,2,3,4
Chrng,285,221,371,256,385,348,396,323,245,263
Chst1,14,14,5,9,3,2,1,1,0,0
Chst10,102,44,44,37,41,55,39,27,23,25
Chst11,247,222,255,297,218,314,266,266,206,245
Chst12,236,111,121,135,120,143,127,122,81,93
Chst13,0,0,0,0,0,0,0,0,0,0
Chst14,117,92,60,115,30,40,33,22,8,11
Chst15,135,88,47,30,29,44,38,46,19,35
Chst2,14,19,3,6,4,3,0,1,0,0
Chst3,0,2,0,0,1,3,0,0,0,0
Chst4,85,26,58,55,61,66,59,48,49,20
Chst5,43,21,47,27,51,51,55,36,30,46
Chst7,714,438,811,699,956,758,899,686,639,661
Chst8,452,466,134,346,239,178,157,99,10,28
Chst9,7,15,4,3,4,2,2,4,2,0
Chsy1,1646,1463,1928,1626,1935,2016,2143,2161,1722,1776
Chsy3,3,2,1,2,1,0,2,0,1,0
Chtf18,719,549,615,699,671,746,657,598,578,536
Chtf8,252,173,58,138,74,72,42,53,14,33
Chtop,1976,1472,1486,1814,1603,1483,1558,1510,1085,1129
Chuk,1192,783,850,833,779,834,911,806,616,699
Churc1,105,38,38,56,31,35,28,15,5,3
Ciao1,1273,984,1518,1235,1564,1432,1525,1277,1105,1102
Ciapin1,3202,2169,3284,2961,3762,3532,3762,3378,2665,2792
Cib1,512,301,560,445,558,472,541,397,332,380
Cib2,38,27,4,7,3,1,3,7,0,1
Cib3,9,7,25,13,19,24,22,14,16,10
Cib4,2,0,4,6,5,5,3,2,3,3
Cic,165,129,175,132,156,188,146,137,129,170
Cidea,6,6,5,0,1,0,0,0,0,0
Cideb,20,10,13,14,12,10,16,10,9,4
Cidec,2,1,0,2,3,4,4,0,0,0
Ciita,2,0,1,0,0,0,0,1,0,0
Cilp,4,2,6,12,12,20,9,2,6,7
Cilp2,7,13,6,3,2,4,8,8,5,2
Cinp,333,251,330,262,316,337,381,223,144,176
Cir1,36,22,54,49,40,34,55,47,26,16
Cirbp,2251,2030,2320,2104,2379,2300,2574,2465,2085,1795
Cirh1a,8917,7383,10090,9566,10597,10527,11115,10051,8876,8989
Cisd1,2280,1748,2675,2351,2948,2533,2884,2407,2115,2053
Cisd2,1419,1020,1416,1283,1456,1547,1501,1294,1014,1031
Cisd3,44,52,51,66,63,53,40,37,35,28
Cish,24,14,2,3,1,5,1,3,0,1
Cit,1763,1402,1776,1850,1748,2182,1848,1706,1735,1735
Cited1,341,39,71,51,40,64,57,33,24,22
Cited2,3005,2204,3015,2797,2975,3225,2996,3128,2965,2722
Cited4,97,140,10,11,6,9,5,7,2,2
Ciz1,369,304,162,264,149,191,177,129,118,120
CK137956,1,0,0,0,0,0,0,0,0,0
Ckap2,3076,2102,3179,3327,3329,3695,3736,3442,2929,2970
Ckap2l,1409,762,776,1160,790,869,872,771,616,595
Ckap4,441,393,193,558,182,179,128,90,16,64
Ckap5,4466,3658,4445,5151,4317,5269,4457,4083,3801,4186
Ckb,2717,2789,3922,2237,3348,3594,3482,3458,2356,2483
Cklf,306,182,197,229,261,208,225,134,131,100
Ckm,3,13,2,1,1,2,4,0,1,2
Ckmt1,6,2,0,0,0,4,0,0,0,1
Ckmt2,0,0,0,0,0,0,0,0,0,0
Cks1b,2678,1409,2248,2008,2358,2475,2480,1917,1353,1510
Cks2,247,138,274,168,281,274,314,216,181,173
Clasp1,1370,1192,1440,1531,1390,1599,1315,1209,1078,1293
Clasp2,1243,915,1097,1295,976,1275,1076,1096,878,884
Clasrp,603,468,510,500,477,525,592,522,404,394
Clca1,15,13,10,3,2,2,4,4,3,2
Clca2,7,1,3,2,1,3,3,2,4,3
Clca3,13,6,9,8,19,24,11,14,11,26
Clca4,11,13,19,9,16,11,21,13,17,8
Clca5,0,1,3,2,1,1,0,0,2,0
Clca6,4,1,9,2,4,8,4,1,3,1
Clcc1,7140,5459,7401,7401,8383,8598,8834,7918,6743,6914
Clcf1,2,1,3,2,1,1,1,2,1,2
Clcn1,2,0,0,1,0,2,2,1,0,0
Clcn2,401,412,134,82,89,97,73,81,51,66
Clcn3,1281,940,1039,1262,934,1094,970,1099,843,767
Clcn4-2,518,375,163,264,137,147,121,142,48,107
Clcn5,1104,894,1381,1149,1230,1702,1502,1333,1195,1326
Clcn6,54,45,33,64,39,35,46,40,30,17
Clcn7,474,405,390,315,298,284,290,301,213,194
Clcnka,0,0,0,0,2,0,0,0,0,1
Clcnkb,0,0,0,0,0,0,2,0,1,0
Cldn1,10,7,5,0,3,0,0,1,0,2
Cldn10,43,22,31,27,49,59,45,25,26,44
Cldn11,12,4,0,2,0,0,0,1,0,0
Cldn12,475,281,363,324,185,236,311,292,180,201
Cldn13,0,0,0,0,0,0,0,0,0,0
Cldn14,17,10,13,10,21,8,26,30,10,14
Cldn15,696,424,673,666,838,779,983,565,436,479
Cldn16,1,0,3,4,3,3,1,0,0,1
Cldn17,0,0,0,0,0,0,0,0,0,1
Cldn18,2,1,0,0,0,0,0,0,0,0
Cldn19,0,0,2,0,1,0,0,0,0,0
Cldn2,0,0,0,0,0,0,2,1,9,2
Cldn20,10,19,10,10,19,21,18,14,15,21
Cldn22,0,0,1,0,0,0,0,0,0,0
Cldn23,2,0,2,4,0,0,0,0,0,0
Cldn24,0,0,0,0,0,0,0,0,0,0
Cldn25,2451,1898,1864,2157,2263,2224,2234,2198,1829,1669
Cldn26,232,184,205,156,229,192,239,153,150,132
Cldn3,48,19,8,5,4,4,2,4,2,3
Cldn4,139,129,229,129,183,143,196,179,152,165
Cldn5,4,2,0,2,1,5,2,2,0,1
Cldn6,8,1,8,11,7,15,8,4,4,1
Cldn7,35,16,10,6,27,17,17,13,8,19
Cldn8,474,394,584,374,407,548,551,664,462,386
Cldn9,82,65,85,85,88,113,115,71,58,80
Cldnd2,1,0,0,0,0,0,0,0,0,0
Clec10a,504,332,576,428,562,550,625,462,370,372
Clec11a,8,8,12,5,12,10,8,4,2,8
Clec12a,1409,1031,1665,1334,1811,1466,1756,1494,1282,1339
Clec12b,2,3,1,2,1,0,0,0,0,0
Clec14a,31,30,13,12,0,4,1,10,0,8
Clec16a,173,122,133,157,162,132,141,140,104,106
Clec18a,0,0,0,0,0,0,0,0,0,0
Clec1a,21,4,44,85,9,35,14,10,4,4
Clec1b,0,0,0,0,0,0,0,2,0,1
Clec2d,1,1,4,0,2,2,0,1,0,0
Clec2e,2,3,8,2,7,3,4,1,0,1
Clec2g,8,1,8,3,0,1,3,1,0,0
Clec2h,42,34,48,69,62,70,78,69,53,78
Clec2i,0,4,0,1,1,0,0,0,0,0
Clec2l,45,28,42,34,39,22,29,33,6,12
Clec3a,0,1,0,0,0,0,1,0,0,0
Clec3b,3,0,2,1,0,1,0,0,0,0
Clec4a1,2,0,0,0,0,0,0,0,0,0
Clec4a2,0,1,2,1,0,0,0,0,0,0
Clec4a3,1,2,1,1,1,0,0,0,0,0
Clec4a4,0,0,0,0,0,0,0,0,0,0
Clec4b1,0,0,0,0,0,1,0,1,1,0
Clec4b2,1,4,2,2,0,2,0,1,4,2
Clec4d,0,0,0,0,0,0,0,0,0,0
Clec4e,0,0,0,0,0,2,0,0,0,0
Clec4f,0,0,0,1,2,0,0,0,0,0
Clec4g,26,19,31,18,21,18,23,30,7,27
Clec4n,1,0,2,1,0,0,1,0,0,0
Clec5a,1,2,2,0,1,0,0,0,0,0
Clec7a,5,26,0,0,1,1,0,0,0,0
Clec9a,0,1,1,3,2,4,0,2,1,0
Clgn,14,10,23,17,33,34,17,20,13,14
Clhc1,2781,2032,3383,2597,3269,3134,3609,3134,2306,2357
Clic1,566,208,89,182,92,101,55,70,7,31
Clic3,4,0,2,5,4,0,3,2,5,1
Clic4,6094,5361,6791,6659,7001,6752,6886,6958,6493,5867
Clic5,3,0,7,2,6,4,2,2,0,3
Clic6,3,11,1,4,9,2,3,3,0,0
Clint1,4504,3707,4510,4837,4629,5120,4884,5031,4136,4002
Clip1,2662,2294,2722,2485,2623,2884,2651,2713,2351,2328
Clip2,72,61,68,78,90,83,79,61,53,87
Clip3,41,32,33,29,39,51,43,34,35,42
Clip4,1293,1074,1367,1304,1424,1525,1393,1413,1245,1244
Clk1,4153,3466,3429,3644,3218,4012,3839,3670,2802,2803
Clk2,1330,1016,1287,1138,1297,1386,1269,1275,1075,1106
Clk3,1442,1107,1400,1258,1703,1542,1536,1431,1165,1191
Clk4,514,491,269,289,270,225,225,258,156,158
Clmn,26,16,33,11,17,29,26,32,8,26
Clmp,73,105,104,119,127,148,128,86,90,106
Cln3,501,312,200,244,172,167,152,160,104,128
Cln5,272,147,101,151,79,69,36,50,2,24
Cln6,161,96,42,73,52,33,29,15,14,16
Cln8,327,242,128,192,102,97,105,69,14,32
Clnk,0,0,0,0,0,0,0,0,0,0
Clns1a,1300,959,1066,1164,1224,1133,1161,995,788,726
Clock,1654,1245,1918,1802,1402,2020,1576,1558,1379,1608
Clp1,174,107,126,79,59,54,82,74,49,33
Clpb,1876,1682,2254,2123,2268,2251,2327,2178,1762,1817
Clpp,417,262,243,223,208,163,157,165,74,97
Clps,8,3,10,8,13,7,9,4,3,4
